long,lat,cell_5km,number_checklists,total_SR,total_duration,avg_duration,no_months,square,urban,season,urban2,geometry,elevation,elev_units,x,y,precip,hemisphere,abslat
-156.5617757673941,71.24879012316026,1618688,407,87,330527,62.7185958254269,3,r1c1,1,summer,Natural,"c(-7643500, 7877500)",6,meters,-7643500.000000004,7877499.999999998,110.40851812261926,northern,71.24879012316026
-156.45936079011446,71.24879012316026,1618689,229,67,279172,92.964368964369,3,r1c1,1,summer,Natural,"c(-7638500, 7877500)",5,meters,-7638500.000000005,7877499.999999998,111.49620330586436,northern,71.24879012316026
-149.50077766293734,68.61353407627335,1936181,117,75,97463,95.8338249754179,3,r1c1,1,summer,Natural,"c(-7918500, 7657500)",897,meters,-7918500.000000002,7657499.999999997,241.4439991010598,northern,68.61353407627335
-164.87730212183595,65.2982938940212,2354444,414,71,440469,133.152660217654,2,r1c1,1,summer,Natural,"c(-9533500, 7367500)",120,meters,-9533499.999999996,7367500.000000002,400.87170480767406,northern,65.2982938940212
-164.9126241412962,65.2424869304762,2361658,148,62,30135,22.640871525169,2,r1c1,1,summer,Natural,"c(-9548500.00000004, 7362499.99999998)",31,meters,-9548500.000000045,7362499.99999998,397.69195239283226,northern,65.2424869304762
-164.86206634684007,65.18672212018905,2368873,151,65,13569,10.6256851996868,3,r1c1,1,summer,Natural,"c(-9558500.00000004, 7357499.99999998)",20,meters,-9558500.000000043,7357499.999999982,400.1681161735862,northern,65.18672212018905
-147.61437409943304,65.18672212018905,2369073,113,31,1998,6,2,r1c1,1,summer,Natural,"c(-8558500.00000004, 7357499.99999998)",599,meters,-8558500.000000037,7357499.999999982,313.25969729778404,northern,65.18672212018905
-164.72597445775364,65.13099929771649,2376089,169,77,58864,38.4480731548008,3,r1c1,1,summer,Natural,"c(-9563500.00000004, 7352499.99999998)",41,meters,-9563500.000000043,7352499.999999982,412.8329913424126,northern,65.13099929771649
-148.36808381577643,64.96408111911748,2397923,127,57,26787,31.8513674197384,3,r1c1,1,summer,Natural,"c(-8648500.00000003, 7337499.99999999)",693,meters,-8648500.000000028,7337499.999999989,301.0930574552373,northern,64.96408111911748
-166.19634475150693,64.8530092881299,2412144,126,70,35306,44.1325,3,r1c1,1,summer,Natural,"c(-9713500.00000003, 7327499.99999999)",100,meters,-9713500.000000028,7327499.999999988,431.18043968516844,northern,64.8530092881299
-165.97678927667016,64.79753497883162,2419361,297,59,177800,73.4104046242775,3,r1c1,1,summer,Natural,"c(-9713500.00000003, 7322499.99999999)",194,meters,-9713500.000000028,7322499.999999989,434.59049030902577,northern,64.79753497883162
-165.20786401621308,64.79753497883162,2419370,130,52,27287,25.8399621212121,2,r1c1,1,summer,Natural,"c(-9668500.00000003, 7322499.99999999)",170,meters,-9668500.00000003,7322499.999999989,432.92523108112545,northern,64.79753497883162
-148.12063600605504,64.79753497883162,2419570,123,52,55690,41.4668652271035,3,r1c1,1,summer,Natural,"c(-8668500.00000003, 7322499.99999999)",331,meters,-8668500.000000026,7322499.999999989,298.8775991887448,northern,64.79753497883162
-166.01422157113217,64.74210152932606,2426575,265,90,85848,25.079754601227,3,r1c1,1,summer,Natural,"c(-9728500.00000003, 7317499.99999999)",212,meters,-9728500.000000028,7317499.999999988,432.0038716460817,northern,64.74210152932606
-164.13710131900447,64.74210152932606,2426597,106,38,17725,29.3460264900662,2,r1c1,1,summer,Natural,"c(-9618500.00000003, 7317499.99999999)",272,meters,-9618500.00000003,7317499.999999988,448.3901732653036,northern,64.74210152932606
-138.3693596761603,64.74210152932606,2426899,131,92,60470,30.6022267206478,3,r1c1,1,summer,Natural,"c(-8108500.00000002, 7317499.99999999)",1088,meters,-8108500.000000024,7317499.999999988,400.4472605070827,northern,64.74210152932606
